frame number;complex0.txt;complex1.txt;complex2.txt;complex3.txt;complex4.txt;complex5.txt;complex6.txt;complex7.txt;complex8.txt;complex9.txt;simple0.txt;simple1.txt;simple2.txt;simple3.txt;simple4.txt;simple5.txt;simple6.txt;simple7.txt;simple8.txt;simple9.txt;
60;0;0;0;0;0;0;0;0;0;0;0;0.002;0;0.001;0.002;0.002;0;0.002;0;0;
61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;0;0.455;17.189;0.001;0.058;0.041;0.055;0.047;0.188;0.281;0;0;0.016;0;0.01;0;0;0.016;0.031;0.031;
63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0.009;0;0.01;0.031;0.047;
64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
65;0;0;0;0;0;0;0;0;0;0;0;0.001;0.003;0;0.008;0;0.016;0.006;0.015;0.031;
66;0;0.426;16.109;0;0.047;0.04;0.033;0.032;0.188;0.281;0;0;0.016;0;0.009;0.015;0;0.016;0.015;0.047;
67;0;0.116;4.171;0;0.031;0.031;0.031;0.016;0.094;0.141;0;0;0;0;0;0;0;0;0;0;
68;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
69;0;0;0;0;0;0;0;0;0;0;0;0;0.016;0;0.013;0;0;0.003;0.047;0.047;
70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
71;0;0;0;0;0;0;0;0;0;0;0;0;0.016;0;0.009;0.007;0;0;0.016;0.031;
72;0;0;0;0;0;0;0;0;0;0;0;0;0.015;0;0.011;0.009;0;0.016;0.047;0.047;
73;0.004;0.64;24.739;0;0.065;0.042;0.059;0.047;0.219;0.328;0;0;0;0;0;0;0;0;0;0;
74;0;0;0;0;0;0;0;0;0;0;0;0;0.021;0;0.011;0;0;0.016;0.047;0.063;
75;0;0;0;0;0.016;0;0;0;0;0;0.016;0;0;0;0;0;0;0;0;0;
76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
78;0;0.303;8.78;0;0.047;0.043;0.035;0.032;0.156;0.235;0;0;0;0;0;0;0;0;0;0;
79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.015;0.016;0.001;0.015;0.031;0.047;
82;0;0;0;0;0;0;0;0;0;0;0;0;0.015;0;0.01;0.01;0.016;0.017;0.031;0.047;
83;0;0;0;0;0;0;0;0;0;0;0;0.002;0;0;0.012;0.01;0.009;0;0.031;0.047;
84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007;0.008;0;0.007;0.031;0.047;
85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;
88;0;0;0;0;0;0;0;0;0;0;0.016;0;0;0;0;0;0;0;0;0;
89;0;0.406;13.727;0;0.046;0.042;0.03;0.031;0.172;0.25;0;0;0;0;0;0;0;0;0;0;
90;0;0.162;6.199;0.002;0.034;0.016;0.025;0.016;0.109;0.156;0;0.015;0;0;0;0;0;0;0;0;
91;0;0.296;12.097;0;0.05;0.039;0.036;0.031;0.156;0.234;0;0.001;0.016;0;0.012;0.01;0;0;0.032;0.046;
92;0;0.351;10.958;0.001;0.045;0.044;0.037;0.031;0.172;0.25;0;0;0;0;0;0;0;0;0;0;
93;0;0;0;0;0;0;0;0;0;0;0;0.001;0.012;0;0.01;0.015;0;0.016;0.031;0.032;
94;0;0.172;5.717;0.001;0.024;0.013;0.026;0.015;0.125;0.157;0;0;0;0;0;0;0;0;0;0;
95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;
96;0;0.078;2.93;0;0.04;0.016;0.018;0.016;0.078;0.125;0;0;0;0;0;0;0;0;0;0;
97;0;0.414;13.981;0.002;0.066;0.046;0.043;0.046;0.188;0.281;0;0;0.016;0;0.013;0;0.016;0;0.031;0.047;
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;
100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0;
102;0;0;0;0;0;0;0;0;0;0;0.016;0;0.014;0;0.018;0.005;0.016;0.015;0.031;0.047;
103;0;0;0;0;0;0;0.001;0;0;0;0;0.001;0;0;0;0;0;0.001;0;0;
104;0;0;0;0;0;0;0;0;0;0;0;0.001;0.014;0;0.012;0.009;0;0.008;0.031;0.047;
105;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0.001;0;0;0;0;
106;0.016;1.207;44.609;0.003;0.094;0.079;0.07;0.062;0.296;0.453;0;0;0;0;0;0;0;0;0;0;
107;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;
108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
109;0;0.084;1.492;0;0.016;0.018;0.018;0.015;0.078;0.109;0;0;0;0;0;0;0;0;0;0;
110;0;0.289;9.473;0;0.047;0.036;0.033;0.031;0.157;0.203;0;0;0;0.001;0.001;0;0;0;0;0;
111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;
112;0;0;0;0;0;0;0;0;0;0;0;0;0.014;0;0.011;0;0;0.016;0.031;0.047;
113;0;0;0;0;0;0;0;0;0;0;0;0.002;0.003;0.001;0.012;0.009;0.016;0;0.031;0.047;
114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
116;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;
117;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;
118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016;0;0.007;0.031;0.047;
123;0;0.315;9.135;0.001;0.047;0.039;0.042;0.032;0.156;0.219;0;0;0;0;0;0;0;0;0;0;
124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
